	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
tV(UAC)B	0	0	0
tV(UAC)D	0	0	0
tV(UAC)Q	0	0	0
tW(CCA)G1	0	0	0
tW(CCA)G2	0	0	0
tW(CCA)J	0	0	0
tW(CCA)K	0	0	0
tW(CCA)M	0	0	0
tW(CCA)P	0	0	0
tW(UCA)Q	0	0	0
tX(XXX)D	0	0	0
tX(XXX)L	0	0	0
tY(GUA)D	0	0	0
tY(GUA)F1	0	0	0
tY(GUA)F2	0	0	0
tY(GUA)J1	0	0	0
tY(GUA)J2	0	0	0
tY(GUA)M1	0	0	0
tY(GUA)M2	0	0	0
tY(GUA)O	0	0	0
tY(GUA)Q	0	0	0
